0.2 0.112766 0.130267
0.3 0.112847 0.13035
0.4 0.112704 0.130262
0.5 0.112567 0.130201
0.6 0.112703 0.130394
0.7 0.112913 0.13066
0.8 0.113117 0.130926
0.9 0.113268 0.131157
1.0 0.113387 0.131346
1.1 0.113352 0.131344
1.2 0.113441 0.131473
1.3 0.113836 0.131938
1.4 0.114463 0.132656
1.5 0.115108 0.133386
1.6 0.115595 0.133938
1.7 0.116111 0.134512
1.8 0.116761 0.13522
1.9 0.117501 0.136014
2.0 0.118195 0.136743
2.1 0.118551 0.137084
2.2 0.11904 0.137567
2.3 0.120023 0.138595
2.4 0.121401 0.140057
2.5 0.122747 0.141481
2.6 0.123678 0.142435
2.7 0.124537 0.143311
2.8 0.125454 0.144258
2.9 0.12647 0.14532
3.0 0.127542 0.146441
3.1 0.12871 0.147641
3.2 0.129926 0.148885
3.3 0.131172 0.15016
3.4 0.132433 0.151451
3.5 0.133693 0.152746
3.6 0.134871 0.153978
3.7 0.136044 0.15521
3.8 0.137218 0.156444
3.9 0.138396 0.157682
4.0 0.139583 0.158926
4.1 0.140841 0.16023
4.2 0.142095 0.161529
4.3 0.143336 0.162815
4.4 0.144554 0.164078
4.5 0.145741 0.165312
4.6 0.146829 0.166458
4.7 0.147891 0.167578
4.8 0.148932 0.168678
4.9 0.149958 0.169762
5.0 0.150976 0.170836
5.1 0.152028 0.171938
5.2 0.15307 0.173029
5.3 0.154099 0.174105
5.4 0.155112 0.175163
5.5 0.156104 0.1762
5.6 0.157063 0.177205
5.7 0.158001 0.178187
5.8 0.158918 0.179146
5.9 0.159813 0.180082
6.0 0.160688 0.180995
6.1 0.16155 0.18189 
6.2 0.162392 0.182762
6.3 0.163214 0.183611
6.4 0.164014 0.184436
6.5 0.164793 0.185238
6.6 0.16555 0.186015
6.7 0.166285 0.186769
6.8 0.166997 0.187498
6.9 0.167686 0.188202
7.0 0.168353 0.188883
7.1 0.168987 0.189535
7.2 0.169599 0.190163
7.3 0.17019 0.190768
7.4 0.170759 0.191348
7.5 0.171308 0.191906
7.6 0.171836 0.19244
7.7 0.172345 0.192951
7.8 0.172834 0.19344
7.9 0.173305 0.193906
8.0 0.173758 0.194351
                      
                      

